brand,category,price,product,review_avg_rating,review_count,url
House 99 by David Beckham,skincare,25,Greater Look Face Moisturiser,4.2,181,https://www.ulta.com/greater-look-face-moisturiser?productId=xlsImpprod17561025
Sebastian,hair,14.5,"SEB MAN The Multitasker Hair, Beard & Body Wash",4.9,178,https://www.ulta.com/seb-man-multitasker-hair-beard-body-wash?productId=pimprod2006615
Duke Cannon Supply Co,hair,13.5,News Anchor 2 in 1 Hair Wash Tea Tree Formula,4.8,177,https://www.ulta.com/news-anchor-2-in-1-hair-wash-tea-tree-formula?productId=xlsImpprod16171043
Sexy Hair,hair,18.95,Style Sexy Hair Hard Up Holding Gel,4.7,174,https://www.ulta.com/style-sexy-hair-hard-up-holding-gel?productId=xlsImpprod5770185
Sebastian,hair,18,SEB MAN The Sculptor Matte Clay,4.6,170,https://www.ulta.com/seb-man-sculptor-matte-clay?productId=pimprod2006609
Duke Cannon Supply Co,shaving,12.5,Superior Grade Shaving Cream,4.7,168,https://www.ulta.com/superior-grade-shaving-cream?productId=xlsImpprod16171037
House 99 by David Beckham,shaving,25,Seriously Groomed Beard & Hair Balm,4.2,168,https://www.ulta.com/seriously-groomed-beard-hair-balm?productId=xlsImpprod17561027
Sebastian,hair,38,Penetraitt Shampoo,4.6,166,https://www.ulta.com/penetraitt-shampoo?productId=xlsImpprod4450509
Duke Cannon Supply Co,body ,8.99,Bergamot & Black Pepper Trench Warfare Antiperspirant + Deodorant,4.8,163,https://www.ulta.com/bergamot-black-pepper-trench-warfare-antiperspirant-deodorant?productId=pimprod2008934
Aveeno,body ,8.99,Daily Moisturizing Body Wash,4.7,162,https://www.ulta.com/daily-moisturizing-body-wash?productId=xlsImpprod600102
Sebastian,shaving,18,SEB MAN The Protector Shaving Cream,4.8,161,https://www.ulta.com/seb-man-protector-shaving-cream?productId=pimprod2006608
Sebastian,hair,40,Penetraitt Conditioner,4.7,161,https://www.ulta.com/penetraitt-conditioner?productId=xlsImpprod4450507
Ralph Lauren,cologne,88,Polo Black Eau de Toilette,4.8,158,https://www.ulta.com/polo-black-eau-de-toilette?productId=VP10904
Paco Rabanne,cologne,92,Invictus Eau de Toilette,4.9,157,https://www.ulta.com/invictus-eau-de-toilette?productId=xlsImpprod11251021
Yves Saint Laurent,cologne,74,L'Homme Eau de Toilette,4.8,157,https://www.ulta.com/lhomme-eau-de-toilette?productId=VP12563
Sexy Hair,hair,19.95,Style Sexy Hairspray Clay Texturizing Spray Clay,4.3,154,https://www.ulta.com/style-sexy-hairspray-clay-texturizing-spray-clay?productId=xlsImpprod5770191
Gucci,cologne,95,Guilty Pour Homme Eau de Toilette,4.8,152,https://www.ulta.com/guilty-pour-homme-eau-de-toilette?productId=xlsImpprod3400101
Duke Cannon Supply Co,body ,7.99,Big Ass Brick of Soap - Smells Like Productivity,4.9,151,https://www.ulta.com/big-ass-brick-of-soap-smells-like-productivity?productId=xlsImpprod16171031
Calvin Klein,cologne,82,Eternity For Men Eau de Toilette,4.6,148,https://www.ulta.com/eternity-men-eau-de-toilette?productId=2232
Duke Cannon Supply Co,hair,13.5,News Anchor Cedarwood 2 in 1 Hair Wash,4.8,139,https://www.ulta.com/news-anchor-cedarwood-2-in-1-hair-wash?productId=pimprod2002334
Duke Cannon Supply Co,shaving,8.99,Hot Shave Clear Warming Shave Gel,4.8,137,https://www.ulta.com/hot-shave-clear-warming-shave-gel?productId=pimprod2002445
Versace,cologne,70,Eros Eau de Toilette,4.8,137,https://www.ulta.com/eros-eau-de-toilette?productId=xlsImpprod5800032
Peter Thomas Roth,skincare,65,Retinol Fusion PM,4.4,137,https://www.ulta.com/retinol-fusion-pm?productId=xlsImpprod2730105
Proactiv,skincare,20,Emergency Blemish Relief,4.3,131,https://www.ulta.com/emergency-blemish-relief?productId=xlsImpprod14651027
Ralph Lauren,cologne,90,Polo Red Eau de Toilette,4.7,130,https://www.ulta.com/polo-red-eau-de-toilette?productId=xlsImpprod5490031
Nivea,body ,8.49,Essentially Enriched Body Lotion,4.6,129,https://www.ulta.com/essentially-enriched-body-lotion?productId=xlsImpprod5540059
Azzaro,cologne,91,Chrome Eau de Toilette,4.8,128,https://www.ulta.com/chrome-eau-de-toilette?productId=34454
Proactiv,skincare,50,3-Step System,4.1,127,https://www.ulta.com/3-step-system?productId=xlsImpprod14651019
Hugo Boss,cologne,78,BOSS Bottled Infinite Eau de Parfum,4.7,126,https://www.ulta.com/boss-bottled-infinite-eau-de-parfum?productId=pimprod2005230
Versace,cologne,85,Man Eau Fraîche Eau de Toilette,4.9,123,https://www.ulta.com/man-eau-fraiche-eau-de-toilette?productId=VP11911
Jack Black,skincare,30,Clean Break Oil-Free Moisturizer,4.8,123,https://www.ulta.com/clean-break-oil-free-moisturizer?productId=xlsImpprod14211033
Calvin Klein,cologne,85,Euphoria For Men Eau de Toilette,4.8,121,https://www.ulta.com/euphoria-men-eau-de-toilette?productId=VP11821
Jimmy Choo,cologne,92,MAN Eau de Toilette,4.8,121,https://www.ulta.com/man-eau-de-toilette?productId=xlsImpprod11931113
